{0, 1}
{2, 3}
{4, 5}
{6, 7}
{8, 9}
{10, 11}
{12, 13}
{14, 15}
{16, 17}
{18, 19}
{20, 21}
{22, 23}
{24, 25}
{26, 27}
{28, 29}
{30, 31}
{32, 33}
{34, 35}
{36, 37}
{38, 39}
{40, 41}
{42, 43}
{44, 45}
{46, 47}
{48, 49}
{50, 51}
{52, 29}
{36, 53}
{52, 28}
{54, 55}
{56, 1}
{57, 29}
{58, 59}
{37, 53}
{60, 61}
{62, 63}
{64, 65}
{66, 35}
{67, 68}
{37, 36, 53}
{69, 70}
{29, 71}
{72, 73}
{74, 75}
{3, 76}
{75, 77}
{29, 78}
{27, 29}
{80, 79}
{81, 82}
{83, 84}
{78, 71}
{85, 86}
{88, 87}
{89, 30}
{90, 82}
{90, 91}
{92, 93}
{80, 94}
{96, 95}
{97, 98}
{99, 100}
{101, 102}
{104, 103}
{105, 106}
{107, 108}
{109, 110}
{88, 111}
{112, 113}
{114, 115}
{116, 117}
{41, 118}
{108, 119}
{120, 35}
{107, 108, 119}
{121, 83}
{105, 122}
{90, 123}
{89, 90}
{89, 123}
{89, 90, 123}
{98, 71}
{58, 124}
{72, 79}
{125, 47}
{126, 127}
{128, 129}
{28, 29, 78}
{130, 131}
{28, 78}
{132, 133}
{32, 76}
{10, 85}
{116, 134}
{11, 85}
{24, 135}
{136, 137}
{49, 35}
{49, 138, 35}
{139, 140}
{12, 141}
{32, 3}
{138, 35}
{49, 138}
{142, 87}
{70, 143}
{144, 145}
{82, 91}
{146, 147}
{148, 93}
{124, 149}
{148, 150}
{149, 151}
{75, 149}
{148, 93, 150}
{152, 12}
{153, 23}
{107, 119}
{93, 150}
{154, 148}
{155, 156}
{75, 149, 151}
{157, 15}
{83, 158}
{75, 151}
{160, 159}
{161, 63}
{74, 149}
{162, 163}
{164, 165}
{52, 87}
{166, 167}
{168, 169}
{112, 170}
{171, 172}
{89, 173}
{174, 175}
{176, 156}
{48, 138}
{177, 26}
{57, 169}
{125, 46, 47}
{125, 46}
{139, 45}
{177, 27}
{178, 179}
{180, 181}
{65, 182}
{184, 183}
{185, 170}
{186, 187}
{120, 138}
{188, 71}
{80, 189}
{190, 191}
{192, 193}
{194, 7}
{195, 60}
{196, 197}
{77, 198}
{152, 199}
{200, 201}
{202, 26}
{59, 203}
{204, 205}
{40, 23}
{206, 207}
{200, 201, 208}
{209, 191}
{201, 205}
{210, 197}
{211, 204}
{200, 201, 204}
{194, 212}
{89, 31}
{213, 214}
{131, 215}
{211, 190}
{200, 204}
{40, 216}
{188, 23}
{217, 218}
{216, 23}
{214, 135}
{80, 211, 189}
{208, 201}
{182, 190}
{19, 219}
{214, 6}
{220, 60}
{198, 135}
{8, 221}
{80, 211, 215}
{193, 133}
{222, 135}
{222, 223}
{9, 221}
{200, 211}
{224, 225}
{139, 54}
{226, 156}
{80, 196, 197}
{193, 227}
{193, 228}
{216, 188}
{229, 230}
{200, 208}
{197, 215}
{100, 231}
{146, 230}
{196, 182}
{232, 51}
{226, 83}
{233, 54}
{211, 215}
{210, 197, 215}
{234, 235}
{211, 191}
{214, 7}
{226, 236}
{27, 19, 219}
{237, 238}
{211, 131}
{192, 227}
{200, 204, 208}
{208, 201, 204}
{208, 205}
{210, 211, 215}
{235, 239}
{19, 27}
{227, 133}
{232, 54}
{210, 205}
{98, 100}
{240, 238}
{241, 239}
{241, 234}
{241, 242}
{88, 241}
{243, 244}
{245, 135}
{246, 247}
{242, 238}
{248, 7}
{249, 242}
{250, 13}
{100, 98, 212}
{182, 191}
{226, 251}
{252, 94}
{192, 133}
{156, 140}
{233, 156}
{51, 140}
{253, 166}
{166, 254}
{256, 255}
{256, 257}
{81, 125}
{258, 242}
{259, 253}
{249, 253}
{260, 21}
{180, 261, 262}
{199, 223}
{60, 223}
{242, 235}
{264, 263}
{265, 266}
{226, 139}
{267, 180}
{83, 268}
{65, 194}
{233, 51}
{198, 22}
{145, 269, 5, 214}
{236, 207}
{270, 254}
{254, 271}
{243, 254}
{57, 213}
{200, 215}
{272, 125}
{264, 125}
{234, 253}
{273, 60}
{248, 57, 7}
{256, 274}
{275, 267}
{65, 2}
{51, 139}
{220, 223}
{180, 263}
{52, 276}
{211, 196, 197}
{208, 201, 211}
{233, 139}
{233, 140}
{77, 7}
{220, 60, 223}
{244, 253}
{232, 251}
{117, 94}
{194, 198}
{240, 242}
{200, 201, 204, 208}
{277, 21}
{117, 278}
{217, 59, 279}
{280, 112}
{281, 267}
{267, 252}
{152, 59}
{282, 164}
{242, 253}
{252, 117}
{156, 140, 233}
{81, 117}
{77, 213}
{9, 228}
{125, 262}
{267, 252, 117}
{283, 284}
{208, 204}
{285, 254}
{193, 9}
{57, 6}
{100, 212}
{57, 7}
{272, 280}
{280, 117}
{286, 279}
{201, 204}
{81, 262}
{192, 193, 133}
{125, 167}
{210, 211}
{210, 131}
{280, 281}
{258, 284}
{80, 202}
{61, 199}
{273, 220}
{153, 287}
{22, 7}
{258, 239}
{57, 220}
{288, 289}
{290, 242}
{243, 166}
{77, 6}
{6, 22}
{146, 229}
{208, 210}
{273, 61, 223}
{273, 220, 61}
{131, 196}
{57, 198}
{8, 291}
{220, 60, 61}
{233, 226}
{60, 292}
{281, 267, 125}
{280, 125}
{260, 277}
{275, 267, 252}
{290, 235}
{226, 51}
{67, 109}
{258, 242, 290}
{201, 182}
{243, 284}
{258, 235}
{258, 116}
{169, 231}
{146, 229, 230}
{293, 294}
{88, 290}
{267, 117}
{162, 271}
{188, 28}
{256, 246}
{213, 22}
{210, 196, 197}
{98, 212}
{88, 242}
{291, 228}
{244, 295}
{256, 166}
{162, 254}
{235, 116}
{11, 199}
{281, 125}
{267, 125}
{273, 11}
{273, 61}
{57, 78}
{296, 235}
{186, 275}
{275, 263}
{256, 259}
{256, 297}
{298, 299}
{116, 20}
{188, 29}
{67, 260}
{280, 252}
{144, 81}
{27, 21}
{220, 212}
{298, 238}
{300, 301}
{241, 258}
{188, 132}
{261, 263}
{72, 298}
{273, 61, 199}
{117, 125}
{243, 253}
{56, 302}
{153, 303}
{40, 304}
{305, 298}
{284, 253}
{129, 306}
{307, 151}
{12, 151}
{188, 78}
{116, 308}
{309, 247}
{234, 242}
{310, 311}
{273, 212}
{273, 222}
{153, 303, 287}
{264, 64}
{304, 23}
{100, 222}
{312, 313}
{312, 216}
{240, 298}
{314, 315}
{288, 315}
{316, 14}
{317, 318}
{48, 12, 151}
{320, 319}
{180, 261, 263}
{77, 214}
{76, 141}
{321, 31}
{322, 323}
{147, 324}
{73, 250}
{266, 325}
{105, 326}
{303, 287}
{280, 64}
{328, 327}
{329, 330}
{331, 332}
{275, 252}
{56, 333}
{186, 94}
{48, 12, 149}
{64, 303}
{333, 334}
{226, 286}
{336, 335}
{337, 178, 187}
{178, 91}
{216, 143}
{155, 301}
{338, 339}
{339, 318}
{45, 53}
{340, 45}
{37, 45}
{76, 317}
{341, 342}
{341, 343}
{344, 341}
{345, 346}
{347, 174}
{348, 174}
{349, 350}
{12, 149, 151}
{151, 351}
{290, 20}
{213, 198}
{352, 310}
{336, 353}
{100, 199}
{354, 220}
{304, 31}
{322, 355}
{32, 356}
{32, 357}
{212, 358}
{359, 303, 287}
{64, 359}
{360, 76}
{250, 164}
{272, 361}
{345, 2}
{2, 358}
{328, 314}
{65, 91}
{363, 362, 355}
{355, 342}
{323, 342}
{289, 53}
{112, 311}
{364, 319}
{345, 194}
{164, 342}
{60, 222}
{132, 63}
{275, 180, 263}
{315, 365}
{328, 315}
{360, 366}
{365, 45}
{45, 367}
{354, 292}
{11, 60}
{368, 347, 174}
{369, 151}
{368, 342}
{336, 370}
{154, 309}
{40, 31}
{347, 348}
{369, 351}
{363, 13}
{345, 194, 212}
{360, 171}
{360, 371}
{53, 367}
{288, 367}
{250, 342}
{12, 149}
{342, 343}
{344, 343}
{345, 61}
{290, 308}
{284, 295}
{315, 36, 53}
{339, 372, 318}
{288, 45}
{289, 45}
{341, 342, 343}
{344, 341, 343}
{368, 174}
{373, 349}
{374, 318}
{217, 82}
{102, 375}
{360, 372}
{250, 343}
{57, 29, 78}
{376, 262}
{100, 60}
{36, 365}
{314, 315, 365}
{273, 11, 61}
{368, 347}
{65, 337, 91}
{23, 31}
{377, 189}
{250, 13, 342}
{64, 378, 359}
{64, 153}
{256, 379}
{380, 301}
{60, 358}
{194, 220}
{337, 178}
{315, 381}
{138, 139}
{48, 382}
{372, 317}
{20, 308}
{88, 20}
{352, 260}
{337, 187}
{304, 40, 31}
{216, 70}
{32, 311}
{58, 359}
{252, 359}
{361, 267}
{194, 358}
{65, 337, 178}
{315, 327}
{56, 366}
{34, 383}
{29, 181}
{338, 372}
{242, 116}
{384, 360}
{217, 189}
{34, 334}
{385, 155}
{386, 317}
{350, 127}
{336, 75}
{387, 388}
{354, 358}
{389, 31}
{376, 281, 125}
{149, 351}
{48, 390}
{40, 321}
{273, 212, 61}
{56, 334, 302}
{48, 307}
{48, 369}
{369, 12}
{363, 355}
{362, 355}
{163, 391}
{180, 261}
{252, 125}
{387, 300}
{360, 56}
{264, 275}
{187, 28}
{289, 381}
{242, 308}
{392, 235}
{392, 88}
{315, 53}
{200, 204, 205}
{11, 61}
{48, 151}
{40, 389}
{393, 132}
{280, 267}
{370, 75}
{362, 348}
{394, 284}
{382, 151}
{297, 246}
{200, 201, 205, 208}
{395, 396}
{242, 239}
{2, 397}
{328, 36}
{91, 187}
{100, 61}
{128, 55}
{155, 388}
{289, 315}
{162, 285}
{285, 271}
{369, 149, 151}
{188, 398}
{73, 363}
{400, 399}
{312, 331}
{275, 262}
{275, 117}
{2, 212}
{401, 380}
{315, 45}
{328, 45, 367}
{48, 149, 151}
{15, 391}
{273, 220, 60}
{360, 386}
{56, 334}
{328, 53}
{275, 117, 262}
{337, 178, 91}
{171, 317}
{20, 239}
{82, 279}
{200, 210}
{369, 390}
{402, 293}
{403, 277}
{361, 404}
{282, 164, 405}
{362, 355, 348}
{345, 60}
{194, 222}
