nan,1.928838951310861416e-01,8.859060402684564017e-02,5.313466404273264193e-02,3.975288745635240095e-02,2.810041213937804552e-02,2.109407959499367061e-02,1.922548750343312449e-02,1.650860554970143973e-02,1.630701324178518777e-02,1.456215793588741189e-02,1.415302963290579474e-02,1.312234658433037403e-02,1.280409731113956416e-02
nan,nan,9.333333333333333759e-02,2.862462182918315209e-02,1.571777855396437260e-02,4.935927859515899102e-03,3.250270855904658761e-03,2.270577105014191105e-03,1.690960127160201455e-03,1.723689345648497491e-03,1.460954804656204283e-03,7.514653574470217317e-04,8.124136810463887743e-04,5.725069442971947699e-04
nan,nan,nan,3.832902670111972693e-02,1.685517853182523854e-02,1.912394135324651644e-03,9.525458953931416383e-04,5.334281650071124280e-04,3.587508296112934731e-04,3.486274688129992801e-04,3.158965044077434101e-04,1.029933616096926101e-04,1.531766753698868451e-04,8.696408383337682108e-05
nan,nan,nan,nan,2.846401718582169602e-02,2.227171492204899680e-03,4.733105443071259624e-04,4.604051565377532398e-04,1.152571675551073327e-04,1.779731993299832630e-04,1.141182264826360113e-04,2.496766687140153474e-05,3.029762365638454923e-05,2.938376370752577066e-05
nan,nan,nan,nan,nan,7.452871547566856242e-03,1.028700750951548138e-03,3.380805476904872437e-04,1.009829002288945791e-04,7.159660427534008992e-05,3.540181054973954580e-05,1.090159853773224986e-05,1.095357437038854463e-05,5.153222481791947619e-06
nan,nan,nan,nan,nan,nan,7.064641469445425218e-03,9.684292078249080336e-04,1.440216608577930043e-04,8.428860418071476622e-05,2.908955510434423409e-05,1.064059956231667103e-05,5.640497266238991688e-06,5.231466223038330560e-06
nan,nan,nan,nan,nan,nan,nan,9.527439024390243691e-03,3.766478342749529141e-04,1.381253625790767714e-04,4.598546859192495457e-05,4.633211788744075188e-06,4.227713082023975274e-06,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,4.330446369087275447e-03,4.896360372123387868e-04,1.023646227863650384e-04,3.276459457909783020e-05,0.000000000000000000e+00,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,4.424778761061946841e-03,2.703433360367667009e-04,8.059478954685580013e-05,1.234697468252841300e-05,8.008328661808280916e-06
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,4.053058216654384545e-03,2.183565033845258027e-04,1.678866429386877951e-05,0.000000000000000000e+00
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,3.445305770887166236e-03,6.649378283130527438e-05,3.435717721432007176e-05
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,2.999143101970865467e-03,1.472211998527788086e-04
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,1.529831718510963777e-03
nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
