{0, 1}
{2, 3}
{4, 5}
{6, 7}
{8, 9}
{10, 11}
{12, 13}
{14, 15}
{16, 17}
{18, 19}
{20, 21}
{22, 23}
{24, 25}
{26, 27}
{28, 29}
{30, 31}
{32, 33}
{34, 35}
{36, 37}
{38, 39}
{40, 41}
{42, 43}
{44, 45}
{46, 47}
{48, 49}
{50, 51}
{52, 53}
{28, 54}
{52, 55}
{56, 49, 48}
{1, 57}
{49, 58}
{59, 60}
{53, 55}
{28, 29, 54}
{61, 62}
{64, 63}
{65, 66}
{67, 68}
{69, 70}
{72, 71}
{73, 74}
{49, 75}
{3, 76}
{3, 77}
{72, 78}
{76, 79}
{49, 39}
{49, 76}
{80, 81}
{82, 83}
{84, 85}
{75, 76}
{3, 79}
{86, 87}
{88, 89}
{49, 75, 76}
{42, 90}
{83, 91}
{91, 92}
{48, 49, 75}
{93, 94}
{81, 95}
{29, 54}
{96, 81}
{97, 98}
{99, 100}
{101, 102}
{104, 103}
{105, 106}
{107, 108}
{109, 110}
{112, 111}
{89, 113}
{114, 115}
{116, 117}
{34, 118}
{110, 119}
{120, 121}
{122, 27}
{123, 53}
{109, 110, 119}
{91, 124}
{90, 91}
{84, 125}
{107, 126}
{66, 127}
{128, 59}
{98, 75}
{90, 91, 124}
{129, 33}
{130, 131}
{80, 73}
{132, 133}
{48, 49, 76}
{134, 135}
{136, 137}
{44, 77}
{10, 86}
{11, 86}
{120, 138}
{37, 53}
{34, 139}
{140, 141}
{142, 143}
{144, 37, 53}
{145, 12}
{3, 44}
{88, 146}
{64, 147}
{148, 149}
{83, 92}
{144, 53}
{150, 94}
{128, 151}
{128, 72}
{152, 153}
{21, 38}
{154, 150}
{138, 155}
{156, 151}
{72, 151}
{154, 150, 94}
{12, 157}
{158, 31}
{160, 159}
{161, 94}
{154, 94}
{161, 150}
{128, 72, 151}
{72, 156, 151}
{109, 119}
{162, 15}
{130, 163}
{164, 84}
{165, 166}
{62, 167}
{168, 169}
{161, 154, 150}
{151, 71}
{170, 171}
{172, 173}
{144, 36, 53}
{88, 56}
{174, 175}
{176, 114}
{177, 178}
{151, 72, 71}
{174, 86}
{155, 179}
{180, 181}
{90, 182}
{73, 157}
{160, 183}
{144, 36}
{184, 38}
{58, 175}
{32, 129, 33}
{144, 37}
{19, 142}
{184, 39}
{185, 186}
{187, 188}
{189, 135}
{190, 191}
{32, 129}
{192, 66}
{193, 194}
{195, 196}
{168, 79}
{176, 197}
{189, 198}
{144, 123}
{81, 199}
{200, 75}
{201, 202}
{67, 203}
{204, 205}
{78, 206}
{157, 207}
{208, 209}
{210, 211}
{67, 93}
{202, 212}
{213, 7}
{203, 213}
{200, 26, 31}
{26, 214, 31}
{216, 215}
{217, 218}
{219, 38}
{220, 221}
{90, 43}
{93, 222}
{137, 223}
{224, 210, 211}
{225, 5}
{225, 60, 102}
{226, 102}
{162, 67, 227}
{56, 228}
{185, 201}
{208, 209, 81, 199, 185}
{202, 229}
{209, 230}
{60, 231}
{232, 5}
{232, 233}
{33, 5}
{8, 234}
{235, 21}
{185, 210, 236}
{236, 237}
{205, 135}
{139, 238}
{233, 238}
{9, 234}
{192, 201}
{240, 239}
{139, 206}
{241, 183}
{242, 243}
{243, 125}
{81, 185, 223}
{235, 21, 39}
{82, 91}
{32, 244}
{180, 228}
{180, 134}
{205, 245, 246}
{200, 214, 31}
{209, 137, 223}
{234, 245}
{213, 6}
{248, 247}
{249, 250}
{206, 207}
{251, 252}
{253, 254}
{152, 252}
{234, 135}
{192, 208}
{139, 221}
{256, 255}
{88, 60}
{33, 30}
{56, 183}
{257, 250}
{160, 243}
{258, 259}
{25, 247}
{260, 95}
{261, 262, 263}
{264, 262}
{221, 6}
{120, 265}
{9, 135}
{224, 210, 211, 236}
{224, 236, 237}
{266, 247}
{267, 253}
{268, 269}
{13, 270}
{93, 271}
{259, 263}
{217, 93}
{222, 7}
{265, 254}
{265, 267}
{89, 267}
{259, 269, 254}
{249, 30}
{221, 5}
{272, 41, 50}
{267, 269}
{26, 31}
{185, 137}
{273, 227}
{274, 95}
{221, 275, 276, 5}
{257, 269, 277}
{216, 243}
{269, 278}
{160, 279, 143}
{41, 279, 143}
{280, 281}
{258, 277}
{282, 175}
{25, 266, 283}
{284, 285}
{260, 190, 286}
{288, 260, 190, 287}
{249, 220, 30}
{33, 7, 249, 222, 78}
{289, 286}
{204, 245}
{245, 135}
{233, 207}
{249, 290, 30}
{291, 268}
{292, 293}
{284, 294}
{296, 286, 295}
{249, 206, 30}
{2, 66}
{233, 67, 227}
{21, 39}
{297, 284}
{284, 37}
{298, 37}
{291, 299}
{273, 238}
{56, 300}
{185, 137, 230}
{272, 301}
{242, 142}
{242, 199}
{121, 274, 95}
{84, 302}
{213, 206}
{66, 213}
{258, 278}
{291, 172}
{172, 262}
{208, 209, 81}
{304, 67, 303}
{121, 82}
{305, 262}
{277, 262}
{56, 25}
{204, 205, 135}
{205, 246, 135}
{9, 205, 246}
{262, 263}
{11, 78}
{289, 129}
{289, 121}
{245, 246}
{225, 98, 102}
{291, 268, 269}
{217, 60, 79}
{121, 306}
{33, 58, 222, 7}
{286, 295}
{296, 286}
{121, 274, 286}
{264, 291}
{288, 307, 190, 287}
{41, 142}
{307, 198, 287}
{274, 307}
{81, 219}
{211, 236}
{308, 309}
{33, 58, 222, 6}
{233, 68, 207}
{152, 251, 252}
{185, 137, 223}
{129, 274, 286, 295}
{129, 173}
{300, 247}
{33, 222, 30, 7}
{306, 295}
{265, 277}
{208, 137}
{58, 206}
{291, 310}
{168, 311}
{50, 142}
{312, 8}
{313, 314}
{269, 277, 278}
{56, 266}
{242, 279}
{315, 277}
{278, 263}
{67, 303}
{210, 211, 236}
{48, 200}
{284, 316}
{129, 260, 190}
{121, 260}
{261, 262}
{220, 30}
{220, 78}
{66, 78}
{288, 289}
{120, 277}
{224, 211}
{129, 306}
{208, 209, 230}
{222, 30, 7}
{288, 306}
{317, 318}
{296, 274, 286}
{60, 157}
{312, 246}
{206, 30}
{281, 259}
{162, 238}
{257, 269}
{269, 277, 319}
{172, 284}
{320, 321}
{304, 11, 68, 207}
{82, 322}
{225, 175}
{24, 120}
{25, 39}
{288, 260, 190}
{170, 262}
{78, 6}
{233, 78}
{222, 6}
{120, 254}
{9, 246}
{323, 284}
{129, 324}
{65, 127}
{304, 227}
{325, 263}
{137, 230}
{274, 286}
{264, 254}
{266, 69}
{299, 284}
{76, 223}
{269, 319}
{320, 250}
{320, 257}
{291, 278, 263}
{326, 327}
{328, 77}
{329, 330}
{313, 330}
{331, 133}
{332, 333}
{57, 332}
{334, 14}
{336, 335}
{337, 338}
{11, 213}
{269, 277}
{267, 277}
{339, 156}
{340, 341}
{200, 134}
{200, 342}
{48, 76, 200}
{344, 343}
{221, 78}
{145, 77}
{120, 319}
{320, 73}
{304, 68, 207}
{345, 43}
{346, 347}
{348, 214}
{153, 349}
{74, 270}
{168, 247}
{310, 350}
{269, 253}
{149, 351}
{352, 293}
{353, 107}
{304, 238}
{304, 227, 68}
{354, 355, 158}
{49, 3}
{356, 21}
{98, 102}
{65, 306}
{355, 324}
{307, 324}
{89, 259}
{57, 357}
{256, 358}
{58, 76}
{255, 359}
{269, 254}
{57, 338}
{36, 12, 151}
{259, 325}
{65, 355}
{360, 338}
{361, 26}
{361, 31}
{102, 238}
{242, 362}
{67, 227}
{273, 68}
{198, 95}
{363, 364}
{320, 315}
{365, 366}
{147, 255}
{147, 214}
{325, 278}
{364, 159}
{330, 28, 367}
{368, 369, 333}
{328, 370}
{328, 145}
{371, 308}
{371, 207}
{313, 19, 372}
{19, 308}
{19, 373}
{19, 29}
{19, 374}
{314, 19, 54}
{368, 332, 333}
{332, 77}
{376, 309, 375}
{376, 377, 309}
{288, 378, 82}
{379, 308}
{11, 207}
{247, 180, 340}
{24, 277}
{336, 380}
{380, 381}
{156, 12, 151}
{340, 311, 247}
{340, 375, 247}
{333, 382}
{83, 199}
{217, 83}
{104, 383}
{384, 145, 77}
{145, 385}
{386, 366}
{387, 366}
{388, 66, 92, 189}
{161, 350}
{227, 389}
{361, 26, 43}
{185, 223}
{44, 390}
{44, 391}
{129, 295}
{384, 392}
{13, 270, 375}
{393, 13}
{308, 213, 271}
{352, 72}
{304, 68}
{394, 370}
{370, 77}
{89, 269}
{49, 58, 76}
{158, 286}
{296, 190, 287}
{288, 190, 287}
{395, 396}
{2, 308}
{273, 2}
{134, 255}
{72, 387}
{182, 79}
{121, 158}
{397, 375}
{259, 291}
{398, 343}
{308, 68}
{168, 393}
{51, 399}
{102, 67, 238}
{362, 199}
{62, 134}
{307, 287}
{66, 187, 388}
{258, 278, 263}
{400, 364, 159}
{329, 330, 374}
{329, 401, 330}
{144, 142}
{144, 402}
{36, 326}
{185, 236, 230}
{180, 247}
{403, 156}
{24, 404, 120, 319}
{340, 405, 247}
{49, 191}
{220, 206}
{120, 269}
{43, 31}
{185, 230, 223}
{384, 385}
{44, 149}
{290, 199}
{129, 286, 295}
{323, 406}
{266, 69, 149, 351}
{403, 327}
{345, 361, 26}
{259, 325, 263}
{98, 308, 102}
{354, 306}
{59, 324}
{372, 54}
{313, 372}
{376, 270, 375}
{376, 377, 270}
{255, 348, 359}
{329, 407}
{65, 355, 158}
{408, 397, 375}
{314, 54}
{409, 395}
{66, 187, 388, 189}
{132, 292}
{410, 254}
{89, 410}
{411, 159}
{330, 374}
{371, 308, 213}
{19, 372}
{384, 332}
{368, 332}
{338, 332}
{389, 303}
{309, 375}
{408, 377, 309}
{376, 309}
{156, 403, 12}
{412, 351}
{276, 78}
{336, 131}
{413, 414}
{207, 271}
{273, 389}
{304, 227, 389}
{26, 43, 415}
{210, 223}
{363, 413}
{405, 247}
{54, 327}
{151, 327}
{345, 26}
{416, 134}
{304, 227, 68, 271}
{417, 333}
{65, 324}
{57, 370}
{360, 57, 357}
{396, 286}
{129, 274, 286}
{396, 295}
{355, 158}
{314, 367}
{284, 406}
{273, 308}
{67, 308, 227}
{409, 129, 295}
