{0, 1}
{2, 3}
{4, 5}
{6, 7}
{8, 9}
{10, 11}
{12, 13}
{14, 15}
{16, 17}
{18, 19}
{20, 21}
{22, 23}
{24, 25}
{26, 27}
{28, 29}
{30, 31}
{32, 33}
{34, 35}
{36, 4}
{37, 38}
{40, 39}
{41, 42}
{43, 44}
{45, 46}
{48, 47}
{49, 50}
{51, 52}
{27, 53}
{37, 54}
{26, 53}
{56, 55}
{57, 27}
{33, 58}
{59, 60}
{61, 62}
{38, 54}
{36, 5}
{64, 63}
{65, 66}
{67, 68}
{38, 37, 54}
{69, 70}
{27, 71}
{72, 73}
{74, 75}
{1, 76}
{73, 77}
{27, 78}
{25, 27}
{1, 78}
{80, 79}
{81, 82}
{83, 84}
{78, 71}
{85, 86}
{88, 87}
{89, 28}
{90, 82}
{90, 91}
{92, 93}
{80, 94}
{96, 95}
{97, 98}
{99, 100}
{101, 102}
{104, 103}
{105, 106}
{107, 108}
{109, 110}
{88, 111}
{112, 113}
{114, 115}
{116, 117}
{40, 118}
{108, 119}
{107, 108, 119}
{120, 5}
{121, 83}
{107, 119}
{105, 122}
{90, 123}
{89, 90}
{89, 123}
{89, 90, 123}
{98, 71}
{124, 61}
{74, 79}
{125, 126}
{48, 127}
{26, 78}
{128, 129}
{130, 131}
{132, 133}
{76, 30}
{10, 85}
{112, 134}
{11, 85}
{22, 135}
{136, 137}
{128, 35}
{52, 5}
{138, 52, 5}
{138, 5}
{138, 52}
{139, 12}
{140, 141}
{1, 30}
{142, 87}
{70, 143}
{144, 145}
{82, 91}
{73, 124}
{146, 147}
{148, 93}
{124, 149}
{148, 150}
{24, 17}
{73, 149}
{149, 151}
{93, 150}
{148, 93, 150}
{152, 12}
{153, 21}
{154, 148}
{155, 156}
{73, 149, 151}
{35, 157}
{83, 158}
{73, 151}
{160, 159}
{64, 161}
{162, 163}
{72, 149}
{164, 165}
{138, 51}
{51, 5}
{53, 87}
{166, 167}
{168, 116}
{169, 170}
{171, 172}
{89, 173}
{174, 175}
{176, 156}
{24, 177}
{57, 170}
{168, 117}
{48, 127, 47}
{127, 47}
{177, 25}
{50, 140}
{178, 179}
{180, 181}
{182, 183}
{184, 66}
{185, 186}
{187, 188}
{168, 189}
{190, 191}
{120, 138}
{192, 71}
{80, 193}
{194, 195}
{196, 197}
{80, 198}
{198, 199}
{200, 7}
{201, 7}
{202, 59}
{203, 62}
{100, 62}
{204, 77}
{200, 6}
{152, 205}
{178, 199}
{206, 207}
{208, 209}
{209, 207}
{210, 62}
{48, 3}
{211, 157}
{212, 92}
{59, 211}
{213, 207}
{80, 193, 199}
{80, 193, 178}
{24, 214}
{216, 215}
{208, 178}
{21, 39}
{217, 218}
{213, 206, 207}
{219, 197}
{220, 199}
{208, 206}
{201, 221}
{89, 29}
{219, 199}
{192, 39}
{192, 21}
{200, 222}
{131, 223}
{199, 223}
{80, 199}
{208, 207}
{224, 225}
{178, 196}
{213, 206}
{178, 223}
{209, 178}
{200, 135}
{226, 39}
{226, 21}
{201, 6}
{178, 207}
{178, 198, 199}
{80, 178, 199}
{80, 223}
{80, 198, 199}
{203, 100}
{184, 196}
{17, 227}
{132, 174}
{200, 201}
{228, 229}
{209, 199}
{204, 135}
{24, 40}
{206, 223}
{230, 231}
{232, 135}
{80, 178}
{195, 133}
{192, 226}
{232, 216}
{8, 233}
{233, 9}
{178, 206}
{234, 55}
{141, 55}
{235, 156}
{121, 236}
{220, 196}
{235, 141}
{195, 237}
{218, 238}
{131, 199}
{146, 239}
{184, 198}
{234, 235}
{83, 235}
{48, 20}
{140, 55}
{235, 55}
{240, 47}
{241, 195}
{233, 237}
{242, 239}
{243, 46}
{121, 46}
{121, 218}
{218, 140}
{244, 245}
{228, 246}
{220, 206, 207}
{178, 197}
{243, 55}
{140, 46}
{238, 55}
{196, 199}
{199, 220, 223}
{220, 206}
{233, 194}
{235, 243}
{140, 238}
{46, 238}
{248, 247}
{25, 227}
{235, 236}
{25, 227, 17}
{197, 223}
{220, 198, 199}
{83, 141}
{208, 213, 206}
{193, 220}
{209, 213}
{178, 198}
{178, 220}
{249, 245}
{83, 156}
{178, 131}
{194, 237}
{241, 237}
{208, 213}
{178, 220, 223}
{25, 17}
{208, 206, 207}
{237, 133}
{193, 178}
{209, 220}
{250, 245}
{251, 211}
{252, 46}
{98, 100}
{248, 253}
{249, 254}
{244, 254}
{254, 255}
{88, 254}
{256, 257}
{258, 259}
{259, 245, 255}
{260, 135}
{248, 255}
{200, 3}
{234, 83}
{156, 238}
{141, 238}
{259, 245}
{259, 261}
{250, 262}
{48, 212, 6}
{9, 133}
{212, 247}
{212, 7}
{255, 263}
{264, 13}
{98, 100, 221}
{184, 197}
{235, 140}
{265, 211}
{94, 167}
{235, 252}
{266, 94}
{157, 135}
{194, 133}
{20, 247}
{267, 3, 200}
{156, 141}
{141, 46}
{268, 52}
{81, 127}
{269, 270}
{248, 269}
{269, 255}
{263, 271}
{19, 246}
{272, 182}
{273, 77}
{131, 220}
{216, 205}
{193, 178, 220}
{216, 59}
{245, 255}
{274, 182}
{224, 251}
{224, 62}
{20, 7}
{275, 182}
{200, 145, 267}
{166, 271}
{257, 166}
{276, 277}
{277, 278}
{81, 279}
{81, 116}
{81, 266}
{260, 87}
{260, 157}
{280, 271}
{272, 281, 182}
{257, 261}
{57, 212, 7}
{273, 20}
{274, 282}
{281, 274, 182}
{100, 221}
{98, 221}
{283, 284}
{193, 235}
{266, 275}
{275, 285}
{201, 66}
{204, 20}
{145, 267}
{218, 236}
{277, 286}
{116, 287}
{244, 271}
{288, 257}
{127, 279}
{200, 145, 3}
{57, 212, 6}
{127, 287}
{282, 127}
{229, 53}
{113, 266}
{135, 87}
{57, 222}
{116, 127}
{20, 222}
{57, 6}
{289, 59}
{178, 206, 207}
{178, 213, 207}
{0, 66}
{216, 211}
{152, 200}
{253, 269}
{290, 19, 246}
{77, 7}
{113, 291}
{20, 6}
{113, 127}
{275, 167}
{57, 7}
{275, 292}
{282, 275}
{251, 62}
{46, 55}
{243, 252}
{113, 94}
{201, 204}
{253, 255}
{293, 255}
{259, 271}
{290, 19}
{272, 275}
{291, 275}
{282, 279}
{48, 212}
{216, 59, 211}
{290, 246}
{282, 285}
{294, 271}
{255, 295}
{289, 205}
{265, 59}
{224, 251, 62}
{216, 265}
{296, 164}
{208, 213, 207}
{297, 210, 62}
{255, 271}
{9, 195}
{77, 222}
{241, 9}
{152, 62}
{156, 141, 238}
{77, 6}
{281, 127}
{216, 289, 211}
{113, 266, 275}
{282, 182}
{156, 140}
{81, 113}
{98, 203}
{57, 247}
{259, 255}
{170, 203}
{298, 251}
{287, 279}
{289, 59, 211}
{216, 289}
{244, 293}
{258, 293}
{299, 59}
{257, 300}
{291, 127}
{113, 287}
{190, 127}
{293, 269}
{293, 295}
{81, 281}
{194, 195, 133}
{272, 274, 182}
{224, 298}
{178, 213}
{266, 292}
{292, 287}
{81, 275}
{272, 292}
{275, 292, 127}
{167, 127}
{156, 55}
{249, 269}
{301, 302}
{198, 206}
{265, 60}
{80, 214}
{232, 100}
{60, 205}
{289, 60}
{289, 211}
{153, 303}
{281, 287}
{57, 211}
{304, 8}
{272, 281}
{131, 198}
{146, 242}
{220, 213}
{266, 127}
{280, 245}
{216, 289, 60}
{281, 266}
{57, 204}
{211, 60}
{261, 166}
{272, 127}
{235, 238}
{67, 109}
{305, 90, 153}
{292, 127}
{184, 207}
{281, 274}
{235, 46}
{266, 275, 285}
{255, 269, 295}
{245, 295}
{275, 127}
{266, 285}
{281, 182}
{293, 261}
{256, 162}
{306, 307}
{245, 269}
{146, 242, 239}
{113, 275}
{259, 308}
{258, 261}
{112, 269}
{88, 295}
{259, 309}
{192, 26}
{272, 113}
{249, 255}
{277, 262}
{192, 310}
{212, 6}
{272, 182, 127}
{88, 255}
{304, 241}
{280, 277}
{57, 78}
{257, 162}
{112, 245}
{281, 279}
{289, 11}
{289, 299}
{285, 190}
{277, 166}
{11, 205}
{274, 285}
{245, 294}
{112, 18}
{192, 27}
{266, 66}
{17, 311}
{312, 277}
{299, 60}
{313, 314}
{315, 127}
{67, 246}
{266, 287}
{144, 81}
{11, 60, 205}
{65, 316}
{25, 19}
{192, 57}
{272, 274}
{248, 313}
{250, 317}
{211, 221}
{289, 11, 60}
{274, 266}
{318, 319}
{113, 285}
{269, 254}
{305, 153}
{320, 39}
{192, 132}
{192, 78}
{112, 295}
{289, 60, 205}
{313, 270}
{321, 58}
{261, 271}
{313, 74}
{322, 58}
{285, 182}
{293, 271}
{320, 21}
{112, 323}
{244, 255}
{232, 289}
{289, 221}
{88, 323}
{12, 151}
{129, 324}
{305, 153, 303}
{325, 151}
{65, 282}
{282, 326}
{226, 327}
{285, 127}
{228, 310}
{328, 327}
{313, 253}
{51, 12, 151}
{51, 12, 149}
{329, 321}
{105, 330}
{58, 331}
{200, 77}
{332, 333}
{289, 211, 60}
{305, 303}
{94, 190}
{334, 335}
{301, 335}
{12, 149}
{336, 34}
{65, 305}
{305, 315}
{201, 11}
{337, 338}
{339, 331}
{340, 341}
{139, 76}
{298, 235}
{29, 342}
{147, 343}
{264, 75}
{344, 284}
{65, 287}
{345, 346}
{347, 348}
{349, 350}
{352, 351}
{180, 191}
{91, 180}
{226, 143}
{353, 226}
{354, 335}
{355, 356}
{329, 356}
{50, 54}
{50, 357}
{358, 359}
{360, 361}
{360, 362}
{297, 363}
{11, 59}
{364, 174}
{18, 269}
{365, 366}
{12, 149, 151}
{18, 295}
{88, 18}
{204, 222}
{367, 191}
{66, 367}
{368, 319}
{369, 211}
{320, 29}
{370, 30}
{371, 30}
{372, 373}
{265, 221}
{305, 315, 303}
{65, 315}
{264, 164}
{274, 285, 182}
{0, 363}
{0, 265}
{346, 334}
{153, 113}
{66, 91}
{354, 37}
{340, 374}
{201, 363}
{376, 375}
{376, 13}
{376, 164}
{376, 333}
{377, 378, 375}
{56, 379}
{380, 351}
{180, 367, 191}
{155, 319}
{363, 381}
{50, 38}
