{0, 1}
{2, 3}
{4, 5}
{8, 6, 7}
{9, 10}
{11, 12}
{13, 14}
{16, 15}
{17, 18}
{19, 20}
{21, 22}
{24, 23}
{25, 26}
{27, 28}
{29, 30}
{32, 31}
{33, 34}
{35, 36}
{37, 38}
{40, 39}
{41, 42}
{43, 44}
{45, 46}
{48, 47}
{49, 50}
{51, 52}
{36, 53}
{8, 7}
{6, 7}
{36, 54}
{56, 55}
{57, 27}
{35, 36, 54}
{58, 36}
{1, 59}
{60, 61}
{8, 6}
{57, 28}
{62, 63}
{64, 65}
{66, 67}
{57, 27, 28}
{68, 69}
{70, 71}
{72, 73}
{74, 75}
{76, 36}
{3, 77}
{52, 6}
{78, 79}
{36, 79}
{80, 75}
{34, 36}
{3, 79}
{81, 82}
{83, 84}
{85, 86}
{3, 78}
{76, 79}
{88, 87}
{89, 90}
{76, 36, 79}
{91, 37}
{92, 84}
{92, 93}
{94, 95}
{96, 82}
{97, 82}
{98, 99}
{100, 101}
{102, 103}
{104, 105}
{106, 107}
{108, 109}
{110, 111}
{112, 113}
{114, 90}
{115, 116}
{53, 31}
{117, 118}
{120, 119}
{121, 111}
{122, 26}
{8, 123}
{124, 85, 47}
{121, 110, 111}
{124, 85}
{108, 125}
{65, 126}
{92, 127}
{91, 92}
{91, 127}
{128, 60}
{76, 101}
{91, 92, 127}
{72, 81}
{48, 129}
{130, 131}
{35, 36, 79}
{132, 133}
{134, 135}
{136, 137}
{35, 79}
{77, 39}
{13, 87}
{138, 117}
{14, 87}
{18, 132}
{8, 50}
{139, 31}
{140, 141}
{8, 50, 142}
{143, 15}
{144, 145}
{3, 39}
{89, 146}
{8, 142}
{147, 148}
{69, 149}
{150, 151}
{84, 93}
{128, 75}
{152, 95}
{128, 153}
{154, 155}
{33, 22}
{152, 156}
{138, 157}
{153, 75}
{153, 158}
{152, 156, 95}
{159, 15}
{117, 157}
{160, 30}
{156, 95}
{152, 161}
{121, 110}
{162, 130}
{163, 164}
{161, 95}
{128, 153, 75}
{153, 75, 158}
{18, 165}
{85, 166}
{75, 158}
{168, 167}
{169, 63}
{153, 74}
{170, 171}
{172, 173}
{152, 161, 156}
{49, 142}
{174, 175}
{8, 49}
{89, 54}
{176, 119}
{153, 74, 75}
{177, 178}
{179, 180}
{177, 87}
{72, 159}
{157, 181}
{182, 183}
{184, 58}
{185, 91}
{186, 164}
{33, 187}
{176, 120}
{178, 58}
{48, 129, 47}
{50, 142}
{144, 44}
{34, 187}
{188, 189}
{137, 190}
{192, 191}
{193, 194}
{129, 47}
{65, 195}
{196, 197}
{198, 199}
{172, 78}
{176, 200}
{201, 190}
{123, 142}
{202, 76}
{82, 203}
{204, 205}
{206, 207}
{208, 209}
{209, 139}
{210, 205}
{10, 211}
{66, 212}
{213, 214}
{61, 215}
{61, 103}
{66, 94}
{216, 80}
{217, 159}
{184, 217}
{188, 214}
{218, 219}
{82, 220, 214}
{82, 219, 203}
{82, 219, 221}
{82, 203, 188, 213}
{82, 203, 213, 214}
{221, 222}
{25, 30}
{224, 223}
{225, 139}
{33, 226}
{91, 38}
{66, 227, 94}
{184, 94}
{9, 211, 228}
{218, 219, 229}
{230, 103}
{10, 211, 228}
{205, 231}
{232, 214}
{233, 61}
{234, 5}
{48, 5}
{234, 235}
{236, 165}
{227, 165}
{210, 188}
{211, 212}
{218, 219, 222}
{219, 221, 222}
{25, 202}
{25, 237}
{202, 30}
{209, 225}
{238, 239}
{220, 135}
{9, 139}
{237, 30}
{5, 215}
{103, 61, 215}
{66, 227, 165}
{240, 54}
{218, 219, 82}
{232, 82, 214}
{241, 22}
{218, 188, 222}
{227, 94}
{242, 243}
{210, 195}
{244, 245}
{203, 205}
{139, 239}
{211, 239}
{203, 246}
{11, 247}
{227, 212}
{240, 182}
{136, 182}
{25, 202, 30}
{137, 207}
{33, 26}
{208, 139}
{208, 235}
{9, 228}
{9, 239}
{12, 247}
{186, 242}
{218, 220, 188}
{82, 220, 188}
{248, 249}
{216, 139}
{186, 250}
{251, 124}
{232, 210}
{82, 213, 214}
{83, 92}
{252, 47}
{224, 124, 253}
{254, 207}
{255, 207}
{202, 237}
{144, 224}
{254, 247}
{9, 211}
{216, 217}
{256, 257}
{218, 229}
{220, 188}
{220, 214}
{103, 215}
{258, 259}
{257, 154}
{232, 218, 219}
{188, 205}
{195, 213}
{260, 55}
{52, 260}
{144, 55}
{144, 52}
{164, 261}
{85, 261}
{48, 29}
{251, 261}
{82, 203, 188}
{241, 34, 22}
{262, 263}
{264, 265}
{219, 229}
{66, 227}
{206, 247}
{137, 247}
{220, 205}
{266, 267}
{89, 61}
{186, 54}
{210, 188, 222}
{232, 82, 203, 188}
{218, 219, 229, 222}
{224, 124}
{96, 268}
{188, 135}
{206, 254}
{137, 254}
{221, 229}
{232, 220, 188}
{232, 220, 214}
{232, 221}
{259, 269}
{259, 270}
{227, 78}
{52, 271}
{272, 265}
{251, 164}
{145, 55}
{273, 274}
{275, 139}
{24, 262}
{202, 237, 30}
{276, 270}
{224, 219}
{277, 278, 279}
{280, 278}
{117, 269}
{137, 12}
{245, 262}
{281, 258}
{282, 283}
{16, 284}
{228, 94}
{274, 279}
{209, 94}
{96, 175}
{184, 10}
{89, 139, 165}
{137, 206}
{281, 269}
{281, 90}
{283, 274, 259}
{264, 29}
{5, 239}
{281, 283}
{265, 283}
{195, 205}
{227, 285}
{96, 286}
{151, 239, 5, 287}
{224, 251}
{145, 164}
{145, 52}
{288, 174}
{174, 278}
{289, 273}
{129, 290, 83}
{289, 283, 265}
{24, 245}
{291, 292}
{193, 268, 293}
{279, 294, 278}
{264, 29, 238}
{264, 80, 238}
{80, 65, 238}
{80, 295}
{264, 9, 80, 184}
{80, 9, 48, 184}
{80, 10, 48, 184}
{296, 119}
{184, 9, 58, 48}
{217, 235}
{218, 229, 222}
{25, 237, 30}
{29, 295}
{297, 129}
{129, 298}
{243, 262}
{288, 258}
{288, 282}
{228, 101, 103}
{299, 300}
{264, 58, 10, 184}
{184, 48, 58, 10}
{291, 301}
{297, 119}
{304, 302, 303}
{286, 302, 303}
{193, 303}
{288, 259}
{274, 259}
{283, 259}
{305, 193, 293}
{264, 29, 216}
{52, 253}
{151, 239, 159}
{66, 235}
{164, 253}
{34, 22}
{306, 291}
{50, 291}
{50, 307}
{288, 308}
{232, 188, 135}
{203, 261}
{136, 186}
{305, 298}
{243, 54}
{144, 261}
{96, 118, 286}
{85, 309}
{65, 211}
{272, 289, 283}
{283, 310}
{145, 164, 253}
{312, 311}
{233, 239, 61, 313}
{178, 314}
{24, 315, 245}
{288, 276}
{305, 293, 268, 193}
{277, 278}
{264, 80, 295}
{80, 10}
{296, 303}
{254, 255}
{264, 29, 295}
{129, 305}
{290, 175}
{184, 58, 10}
{61, 78}
{65, 2}
{52, 55}
{66, 235, 227}
{210, 214}
{288, 274}
{274, 283, 316}
{286, 119}
{208, 285}
{290, 298}
{218, 219, 188, 229}
{82, 188, 213, 214}
{82, 203, 188, 214}
{260, 271}
{216, 211}
{82, 188, 213}
{233, 61, 317}
{275, 165}
{24, 315}
{137, 206, 207}
{137, 255, 207}
{255, 12, 207}
{278, 279}
{296, 118}
{12, 318}
{217, 235, 227, 319}
{209, 61, 78}
{101, 103}
{89, 139}
{302, 303}
{304, 303}
{118, 286, 303}
{288, 280}
{61, 159}
{216, 29}
{288, 283}
{136, 53}
{144, 253}
{298, 286}
{258, 310}
{273, 310}
{281, 310}
{320, 66, 319}
{229, 222}
{83, 118}
{321, 278}
{275, 89, 139}
{289, 278}
{178, 3, 103, 215}
{24, 54}
{12, 207}
{264, 48, 80, 184}
{80, 14}
{296, 129}
{103, 228, 215}
{101, 215}
{129, 293}
{258, 279}
{66, 235, 227, 319}
{297, 290, 119}
{297, 118}
{184, 9, 58}
{322, 172}
{323, 78}
{216, 48, 29}
{201, 298, 305}
{233, 323}
{305, 298, 193}
{145, 52, 253}
{320, 66, 235}
{219, 222}
{290, 83}
{129, 83, 286, 303}
{268, 302}
{296, 175}
{129, 286, 302, 303}
{129, 175}
{297, 302}
{289, 269}
{288, 270}
{164, 55}
{259, 277}
{324, 325}
{193, 290}
{289, 283, 310}
{288, 282, 283}
{118, 286}
{289, 310}
{226, 82}
{326, 327}
{328, 289}
{282, 278}
{184, 9, 29}
{217, 67}
{256, 154}
{103, 101, 215}
{218, 213}
{67, 319, 235}
{67, 227, 319}
{184, 10, 29}
{213, 135}
{216, 58}
{58, 227}
{323, 61, 78}
{247, 255}
{259, 308}
{329, 11}
{66, 67, 227}
{245, 54}
{253, 261}
{272, 283}
{310, 279}
{320, 66}
{296, 83}
{289, 259, 316}
{289, 283, 316}
{80, 65}
{256, 257, 154}
{129, 302, 303}
{129, 193, 303}
{283, 279}
{297, 293}
{330, 331}
{315, 245}
{304, 286, 303}
{170, 277}
{52, 261}
{112, 70}
{274, 283}
{313, 317}
{273, 279}
{289, 117}
{178, 215}
{202, 35}
{291, 276}
{129, 268, 193}
{268, 118}
{80, 238}
{296, 293}
{232, 213, 214}
{228, 101}
{323, 61}
{329, 255}
{29, 238}
{274, 332}
{312, 274}
{208, 165}
{272, 333}
{291, 174}
{160, 92, 334, 7}
{160, 92, 7, 335}
{320, 319}
{218, 222}
{217, 67, 14, 319}
{117, 23}
{202, 36}
{336, 78}
{170, 278}
{80, 9}
{80, 235}
{184, 9}
{259, 117}
{12, 255}
{210, 220}
{220, 301}
{220, 79}
{227, 319}
{332, 279}
{232, 135}
{58, 79}
{304, 129, 302, 303}
{286, 303}
{280, 259}
{290, 293}
{291, 308}
{283, 316}
{337, 338}
{320, 67}
{83, 150}
{339, 340}
{275, 341}
{24, 34}
{291, 342}
{129, 343}
{64, 126}
{259, 279}
{245, 70}
{265, 339}
{216, 66}
{344, 338}
{288, 310, 279}
{345, 346}
{313, 228}
{59, 347}
{348, 349}
{217, 14, 319}
{289, 283}
{289, 281}
{136, 202}
{202, 350}
{202, 36, 79}
{305, 268}
{316, 117}
{72, 339}
